"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13"
"25" "13" "phy" "2e+05" "100" "1e-08" "1" "25" "23" "2" "3" "0.92" "0.884615384615385" "26"
"26" "13" "tsh" "2e+05" "100" "1e-08" "1" "5" "0" "5" "26" "0" "0" "26"
"27" "14" "phy" "2e+05" "100" "1e-08" "1" "21" "16" "5" "5" "0.761904761904762" "0.761904761904762" "21"
"28" "14" "tsh" "2e+05" "100" "1e-08" "1" "7" "0" "7" "21" "0" "0" "21"
"29" "15" "phy" "2e+05" "100" "1e-08" "1" "19" "18" "1" "8" "0.947368421052632" "0.692307692307692" "26"
"30" "15" "tsh" "2e+05" "100" "1e-08" "1" "9" "1" "8" "25" "0.111111111111111" "0.0384615384615385" "26"
"31" "16" "phy" "2e+05" "100" "1e-08" "1" "22" "16" "6" "5" "0.727272727272727" "0.761904761904762" "21"
"32" "16" "tsh" "2e+05" "100" "1e-08" "1" "16" "0" "16" "21" "0" "0" "21"
"33" "17" "phy" "2e+05" "100" "1e-08" "1" "26" "17" "9" "7" "0.653846153846154" "0.708333333333333" "24"
"34" "17" "tsh" "2e+05" "100" "1e-08" "1" "6" "0" "6" "24" "0" "0" "24"
"35" "18" "phy" "2e+05" "100" "1e-08" "1" "24" "18" "6" "9" "0.75" "0.666666666666667" "27"
"36" "18" "tsh" "2e+05" "100" "1e-08" "1" "5" "0" "5" "27" "0" "0" "27"
"37" "19" "phy" "2e+05" "100" "1e-08" "1" "32" "26" "6" "5" "0.8125" "0.838709677419355" "31"
"38" "19" "tsh" "2e+05" "100" "1e-08" "1" "11" "2" "9" "29" "0.181818181818182" "0.0645161290322581" "31"
"39" "20" "phy" "2e+05" "100" "1e-08" "1" "21" "19" "2" "5" "0.904761904761905" "0.791666666666667" "24"
"40" "20" "tsh" "2e+05" "100" "1e-08" "1" "7" "0" "7" "24" "0" "0" "24"
"41" "21" "phy" "2e+05" "100" "1e-08" "1" "27" "25" "2" "2" "0.925925925925926" "0.925925925925926" "27"
"42" "21" "tsh" "2e+05" "100" "1e-08" "1" "7" "0" "7" "27" "0" "0" "27"
"43" "22" "phy" "2e+05" "100" "1e-08" "1" "28" "23" "5" "1" "0.821428571428571" "0.958333333333333" "24"
"44" "22" "tsh" "2e+05" "100" "1e-08" "1" "6" "0" "6" "24" "0" "0" "24"
"45" "23" "phy" "2e+05" "100" "1e-08" "1" "28" "26" "2" "4" "0.928571428571429" "0.866666666666667" "30"
"46" "23" "tsh" "2e+05" "100" "1e-08" "1" "12" "1" "11" "29" "0.0833333333333333" "0.0333333333333333" "30"
"47" "24" "phy" "2e+05" "100" "1e-08" "1" "29" "23" "6" "6" "0.793103448275862" "0.793103448275862" "29"
"48" "24" "tsh" "2e+05" "100" "1e-08" "1" "6" "1" "5" "28" "0.166666666666667" "0.0344827586206897" "29"
"49" "25" "phy" "2e+05" "100" "1e-08" "1" "28" "24" "4" "2" "0.857142857142857" "0.923076923076923" "26"
"50" "25" "tsh" "2e+05" "100" "1e-08" "1" "6" "1" "5" "25" "0.166666666666667" "0.0384615384615385" "26"
"51" "26" "phy" "2e+05" "100" "1e-08" "1" "27" "24" "3" "3" "0.888888888888889" "0.888888888888889" "27"
"52" "26" "tsh" "2e+05" "100" "1e-08" "1" "12" "0" "12" "27" "0" "0" "27"
"53" "27" "phy" "2e+05" "100" "1e-08" "1" "47" "25" "22" "4" "0.531914893617021" "0.862068965517241" "29"
"54" "27" "tsh" "2e+05" "100" "1e-08" "1" "16" "2" "14" "27" "0.125" "0.0689655172413793" "29"
"55" "28" "phy" "2e+05" "100" "1e-08" "1" "28" "22" "6" "4" "0.785714285714286" "0.846153846153846" "26"
"56" "28" "tsh" "2e+05" "100" "1e-08" "1" "8" "2" "6" "24" "0.25" "0.0769230769230769" "26"
"57" "29" "phy" "2e+05" "100" "1e-08" "1" "16" "15" "1" "5" "0.9375" "0.75" "20"
"58" "29" "tsh" "2e+05" "100" "1e-08" "1" "7" "0" "7" "20" "0" "0" "20"
"59" "30" "phy" "2e+05" "100" "1e-08" "1" "17" "16" "1" "7" "0.941176470588235" "0.695652173913043" "23"
"60" "30" "tsh" "2e+05" "100" "1e-08" "1" "18" "0" "18" "23" "0" "0" "23"
"61" "31" "phy" "2e+05" "100" "1e-08" "1" "25" "18" "7" "5" "0.72" "0.782608695652174" "23"
"62" "31" "tsh" "2e+05" "100" "1e-08" "1" "20" "1" "19" "22" "0.05" "0.0434782608695652" "23"
"63" "32" "phy" "2e+05" "100" "1e-08" "1" "25" "21" "4" "11" "0.84" "0.65625" "32"
"64" "32" "tsh" "2e+05" "100" "1e-08" "1" "7" "1" "6" "31" "0.142857142857143" "0.03125" "32"
"65" "33" "phy" "2e+05" "100" "1e-08" "1" "28" "20" "8" "0" "0.714285714285714" "1" "20"
"66" "33" "tsh" "2e+05" "100" "1e-08" "1" "13" "0" "13" "20" "0" "0" "20"
"67" "34" "phy" "2e+05" "100" "1e-08" "1" "27" "23" "4" "5" "0.851851851851852" "0.821428571428571" "28"
"68" "34" "tsh" "2e+05" "100" "1e-08" "1" "17" "2" "15" "26" "0.117647058823529" "0.0714285714285714" "28"
"69" "35" "phy" "2e+05" "100" "1e-08" "1" "30" "29" "1" "3" "0.966666666666667" "0.90625" "32"
"70" "35" "tsh" "2e+05" "100" "1e-08" "1" "8" "1" "7" "31" "0.125" "0.03125" "32"
"71" "36" "phy" "2e+05" "100" "1e-08" "1" "23" "23" "0" "8" "1" "0.741935483870968" "31"
"72" "36" "tsh" "2e+05" "100" "1e-08" "1" "4" "0" "4" "31" "0" "0" "31"
"73" "37" "phy" "2e+05" "100" "1e-08" "1" "27" "25" "2" "8" "0.925925925925926" "0.757575757575758" "33"
"74" "37" "tsh" "2e+05" "100" "1e-08" "1" "14" "1" "13" "32" "0.0714285714285714" "0.0303030303030303" "33"
"75" "38" "phy" "2e+05" "100" "1e-08" "1" "18" "16" "2" "3" "0.888888888888889" "0.842105263157895" "19"
"76" "38" "tsh" "2e+05" "100" "1e-08" "1" "8" "0" "8" "19" "0" "0" "19"
"77" "39" "phy" "2e+05" "100" "1e-08" "1" "25" "23" "2" "6" "0.92" "0.793103448275862" "29"
"78" "39" "tsh" "2e+05" "100" "1e-08" "1" "8" "0" "8" "29" "0" "0" "29"
"79" "40" "phy" "2e+05" "100" "1e-08" "1" "23" "22" "1" "4" "0.956521739130435" "0.846153846153846" "26"
"80" "40" "tsh" "2e+05" "100" "1e-08" "1" "8" "3" "5" "23" "0.375" "0.115384615384615" "26"
"81" "41" "phy" "2e+05" "100" "1e-08" "1" "25" "19" "6" "5" "0.76" "0.791666666666667" "24"
"82" "41" "tsh" "2e+05" "100" "1e-08" "1" "9" "0" "9" "24" "0" "0" "24"
"83" "42" "phy" "2e+05" "100" "1e-08" "1" "37" "26" "11" "4" "0.702702702702703" "0.866666666666667" "30"
"84" "42" "tsh" "2e+05" "100" "1e-08" "1" "18" "1" "17" "29" "0.0555555555555556" "0.0333333333333333" "30"
"85" "43" "phy" "2e+05" "100" "1e-08" "1" "23" "20" "3" "3" "0.869565217391304" "0.869565217391304" "23"
"86" "43" "tsh" "2e+05" "100" "1e-08" "1" "6" "0" "6" "23" "0" "0" "23"
"87" "44" "phy" "2e+05" "100" "1e-08" "1" "25" "21" "4" "2" "0.84" "0.91304347826087" "23"
"88" "44" "tsh" "2e+05" "100" "1e-08" "1" "17" "1" "16" "22" "0.0588235294117647" "0.0434782608695652" "23"
"89" "45" "phy" "2e+05" "100" "1e-08" "1" "18" "16" "2" "4" "0.888888888888889" "0.8" "20"
"90" "45" "tsh" "2e+05" "100" "1e-08" "1" "7" "0" "7" "20" "0" "0" "20"
"91" "46" "phy" "2e+05" "100" "1e-08" "1" "28" "23" "5" "5" "0.821428571428571" "0.821428571428571" "28"
